Gene names,Intensity NOT_BCellmemory,Intensity NOT_BCellnaive,Intensity NOT_BCellplasma,Intensity NOT_CD4TCellTcm,Intensity NOT_CD4TCellTem,Intensity NOT_CD4TCellTemra,Intensity NOT_CD4TCellTh1,Intensity NOT_CD4TCellTh17,Intensity NOT_CD4TCellTh2,Intensity NOT_CD4TCellmTregs,Intensity NOT_CD4TCellnTregs,Intensity NOT_CD4TCellnaive,Intensity NOT_CD8TCellTcm,Intensity NOT_CD8TCellTem,Intensity NOT_CD8TCellTemra,Intensity NOT_CD8TCellnaive,Intensity NOT_DendriticCD1c,Intensity NOT_DendriticCD304,Intensity NOT_Monocytesclassical,Intensity NOT_Monocytesintermediate,Intensity NOT_Monocytesnonclassical,Intensity NOT_NKCellsCD56bright,Intensity NOT_NKCellsCD56dim
MTX2,834740000.0,428765000.0,9201850.0,1393000000.0,2130150000.0,260590000.0,390970000.0,2013050000.0,2056000000.0,2294600000.0,957155000.0,1351150000.0,2644400000.0,1292550000.0,1222950000.0,1608650000.0,834315000.0,2228650000.0,448810000.0,1043175000.0,1819550000.0,1706350000.0,981295000.0
RPL27,6903400000.0,3316600000.0,1664300000.0,14012500000.0,15955000000.0,3897100000.0,4716150000.0,15536000000.0,11610500000.0,12731500000.0,8303700000.0,12319500000.0,17417500000.0,12084000000.0,11038500000.0,13571500000.0,8974900000.0,15379500000.0,867875000.0,2940800000.0,4693500000.0,12762000000.0,6934250000.0
SENP1,120194500.0,74061000.0,12138550.0,381900000.0,194135000.0,21664500.0,48636500.0,467775000.0,285340000.0,311530000.0,161287500.0,249635000.0,221210000.0,178680000.0,368320000.0,170700000.0,67616000.0,104561000.0,27229000.0,22133000.0,56702500.0,460695000.0,259795000.0
C3,3729900000.0,2219800000.0,1872150000.0,18023000000.0,31768000000.0,132570000000.0,13956500000.0,81952500000.0,93359500000.0,115090000000.0,163700000000.0,17731850000.0,78820000000.0,7886150000.0,10406300000.0,10246950000.0,107220000000.0,67987500000.0,3987650000.0,108225000000.0,77809500000.0,9102850000.0,10694950000.0
PCGF5,25594500.0,11020800.0,0.0,56335500.0,22736000.0,5161650.0,2018800.0,24000500.0,40740000.0,22846000.0,28838500.0,24711500.0,40536000.0,27954500.0,0.0,33915000.0,16542500.0,25562000.0,0.0,12971500.0,13119000.0,65766500.0,22901500.0
RBKS,43861500.0,12008900.0,0.0,97058500.0,74304000.0,18400000.0,0.0,51257500.0,72437500.0,13305000.0,32208500.0,26449000.0,87234500.0,25762500.0,27993500.0,50664000.0,117280000.0,71333500.0,65838000.0,168980000.0,74470000.0,62980000.0,0.0
WDFY3,36000000.0,764600.0,3961300.0,86432500.0,114626000.0,249690000.0,16649000.0,263190000.0,423245000.0,4018900000.0,810140000.0,30514000.0,201595000.0,36769000.0,113440000.0,105002000.0,375595000.0,216710000.0,341908500.0,615475000.0,288680000.0,188249500.0,140120000.0
TRMT10C,1082530000.0,378265000.0,97944500.0,1440800000.0,1485150000.0,320755000.0,511420000.0,1382000000.0,1265140000.0,1714000000.0,773410000.0,1187610000.0,1772000000.0,1035950000.0,890660000.0,1546500000.0,915410000.0,1177750000.0,394445000.0,896705000.0,1461150000.0,1091700000.0,595045000.0
ZC3H18,782850000.0,484855000.0,45079000.0,669035000.0,758280000.0,329150000.0,404455000.0,962590000.0,1095880000.0,1037495000.0,534605000.0,756780000.0,699895000.0,579605000.0,651675000.0,673635000.0,654210000.0,900100000.0,85540000.0,367150000.0,429810000.0,772410000.0,707545000.0
UBL3,27602500.0,18139500.0,0.0,141330000.0,182660000.0,45401500.0,41845000.0,131435000.0,45293500.0,305850000.0,124740000.0,41361000.0,107955500.0,84659500.0,106610000.0,62617000.0,56636000.0,98217500.0,16965000.0,159970000.0,101856000.0,46763500.0,61510500.0
PRMT9,29879500.0,4237800.0,0.0,194765000.0,174100000.0,44611500.0,27034000.0,192920000.0,95726000.0,138746000.0,51623500.0,181430000.0,116470500.0,143102000.0,76034000.0,139350000.0,14110750.0,26884000.0,11458500.0,99190500.0,40248500.0,48621500.0,16839600.0
PACS1,1761550000.0,825480000.0,13618850.0,3315700000.0,3326650000.0,760725000.0,1301300000.0,3673200000.0,2394800000.0,3201100000.0,2346950000.0,2933850000.0,4028650000.0,2227650000.0,2779150000.0,2895050000.0,840010000.0,1065890000.0,233100000.0,936150000.0,1440550000.0,2617650000.0,3553450000.0
ETV6,110797500.0,19062000.0,0.0,130825000.0,106570000.0,45624500.0,56085500.0,142365000.0,80048000.0,145905000.0,90875000.0,33010000.0,73885000.0,43683000.0,29385000.0,16121500.0,718775000.0,1695300000.0,121050000.0,437525000.0,616810000.0,599395000.0,52650500.0
GTDC1,0.0,0.0,744500.0,0.0,1316150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24806700.0,10691700.0,2952250.0,0.0,115430000.0,129615000.0,0.0,72442500.0,0.0,2738900.0,5608550.0
GBP3,0.0,0.0,0.0,0.0,11099350.0,0.0,0.0,6969000.0,0.0,0.0,0.0,4049600.0,8922650.0,4054400.0,0.0,0.0,7639500.0,0.0,0.0,15805500.0,0.0,0.0,0.0
DNAJA1,1637250000.0,606130000.0,98239000.0,1975550000.0,2260750000.0,779460000.0,873345000.0,2102200000.0,1923300000.0,2343350000.0,1790400000.0,1540000000.0,2324550000.0,1464450000.0,1477750000.0,1597850000.0,2108650000.0,6233400000.0,798890000.0,3242600000.0,3665450000.0,2120450000.0,1005795000.0
TMED5,454515000.0,182395000.0,51062500.0,2165050000.0,2232900000.0,593445000.0,419895000.0,2425450000.0,2095050000.0,1102100000.0,616475000.0,938800000.0,2248550000.0,2175750000.0,2909850000.0,831385000.0,712860000.0,3236750000.0,1073065000.0,1611100000.0,2252300000.0,1040850000.0,1142235000.0
GTF3C4,269315000.0,151665000.0,97489500.0,619305000.0,733655000.0,313615000.0,170420000.0,668885000.0,423435000.0,954735000.0,599480000.0,491960000.0,525850000.0,427480000.0,540940000.0,431490000.0,1128700000.0,1237000000.0,192795000.0,751530000.0,956880000.0,907520000.0,485450000.0
FAM102B,19113500.0,2872350.0,0.0,13860000.0,25507000.0,11394400.0,3259050.0,13992000.0,3367650.0,27477000.0,18051000.0,0.0,0.0,8276600.0,53817000.0,2864850.0,130303500.0,8434000.0,24183000.0,80300500.0,71422500.0,70228000.0,35254500.0
