#1.2,,,,,,,,,,,,,,,,,,,,,,,,
4952,23,,,,,,,,,,,,,,,,,,,,,,,
Name,Description,Intensity NOT_BCellmemory,Intensity NOT_BCellnaive,Intensity NOT_BCellplasma,Intensity NOT_CD4TCellTcm,Intensity NOT_CD4TCellTem,Intensity NOT_CD4TCellTemra,Intensity NOT_CD4TCellTh1,Intensity NOT_CD4TCellTh17,Intensity NOT_CD4TCellTh2,Intensity NOT_CD4TCellmTregs,Intensity NOT_CD4TCellnTregs,Intensity NOT_CD4TCellnaive,Intensity NOT_CD8TCellTcm,Intensity NOT_CD8TCellTem,Intensity NOT_CD8TCellTemra,Intensity NOT_CD8TCellnaive,Intensity NOT_DendriticCD1c,Intensity NOT_DendriticCD304,Intensity NOT_Monocytesclassical,Intensity NOT_Monocytesintermediate,Intensity NOT_Monocytesnonclassical,Intensity NOT_NKCellsCD56bright,Intensity NOT_NKCellsCD56dim
O75431,na,834740000,428765000,9201850,1393000000,2130150000,260590000,390970000,2013050000,2056000000,2294600000,957155000,1351150000,2644400000,1292550000,1222950000,1608650000,834315000,2228650000,448810000,1043175000,1819550000,1706350000,981295000
P61353,na,6903400000,3316600000,1664300000,14012500000,15955000000,3897100000,4716150000,15536000000,11610500000,12731500000,8303700000,12319500000,17417500000,12084000000,11038500000,13571500000,8974900000,15379500000,867875000,2940800000,4693500000,12762000000,6934250000
Q9P0U3,na,120194500,74061000,12138550,381900000,194135000,21664500,48636500,467775000,285340000,311530000,161287500,249635000,221210000,178680000,368320000,170700000,67616000,104561000,27229000,22133000,56702500,460695000,259795000
P01024,na,3729900000,2219800000,1872150000,18023000000,31768000000,1.3257E+11,13956500000,81952500000,93359500000,1.1509E+11,1.637E+11,17731850000,78820000000,7886150000,10406300000,10246950000,1.0722E+11,67987500000,3987650000,1.08225E+11,77809500000,9102850000,10694950000
Q86SE9,na,25594500,11020800,0,56335500,22736000,5161650,2018800,24000500,40740000,22846000,28838500,24711500,40536000,27954500,0,33915000,16542500,25562000,0,12971500,13119000,65766500,22901500
Q9H477,na,43861500,12008900,0,97058500,74304000,18400000,0,51257500,72437500,13305000,32208500,26449000,87234500,25762500,27993500,50664000,117280000,71333500,65838000,168980000,74470000,62980000,0
Q8IZQ1,na,36000000,764600,3961300,86432500,114626000,249690000,16649000,263190000,423245000,4018900000,810140000,30514000,201595000,36769000,113440000,105002000,375595000,216710000,341908500,615475000,288680000,188249500,140120000
Q7L0Y3,na,1082530000,378265000,97944500,1440800000,1485150000,320755000,511420000,1382000000,1265140000,1714000000,773410000,1187610000,1772000000,1035950000,890660000,1546500000,915410000,1177750000,394445000,896705000,1461150000,1091700000,595045000
E7ERS3,na,782850000,484855000,45079000,669035000,758280000,329150000,404455000,962590000,1095880000,1037495000,534605000,756780000,699895000,579605000,651675000,673635000,654210000,900100000,85540000,367150000,429810000,772410000,707545000
O95164,na,27602500,18139500,0,141330000,182660000,45401500,41845000,131435000,45293500,305850000,124740000,41361000,107955500,84659500,106610000,62617000,56636000,98217500,16965000,159970000,101856000,46763500,61510500
Q6P2P2,na,29879500,4237800,0,194765000,174100000,44611500,27034000,192920000,95726000,138746000,51623500,181430000,116470500,143102000,76034000,139350000,14110750,26884000,11458500,99190500,40248500,48621500,16839600
Q6VY07,na,1761550000,825480000,13618850,3315700000,3326650000,760725000,1301300000,3673200000,2394800000,3201100000,2346950000,2933850000,4028650000,2227650000,2779150000,2895050000,840010000,1065890000,233100000,936150000,1440550000,2617650000,3553450000
P41212,na,110797500,19062000,0,130825000,106570000,45624500,56085500,142365000,80048000,145905000,90875000,33010000,73885000,43683000,29385000,16121500,718775000,1695300000,121050000,437525000,616810000,599395000,52650500
Q4AE62,na,0,0,744500,0,1316150,0,0,0,0,0,0,0,24806700,10691700,2952250,0,115430000,129615000,0,72442500,0,2738900,5608550
Q9H0R5,na,0,0,0,0,11099350,0,0,6969000,0,0,0,4049600,8922650,4054400,0,0,7639500,0,0,15805500,0,0,0
P31689,na,1637250000,606130000,98239000,1975550000,2260750000,779460000,873345000,2102200000,1923300000,2343350000,1790400000,1540000000,2324550000,1464450000,1477750000,1597850000,2108650000,6233400000,798890000,3242600000,3665450000,2120450000,1005795000
Q9Y3A6,na,454515000,182395000,51062500,2165050000,2232900000,593445000,419895000,2425450000,2095050000,1102100000,616475000,938800000,2248550000,2175750000,2909850000,831385000,712860000,3236750000,1073065000,1611100000,2252300000,1040850000,1142235000
Q9UKN8,na,269315000,151665000,97489500,619305000,733655000,313615000,170420000,668885000,423435000,954735000,599480000,491960000,525850000,427480000,540940000,431490000,1128700000,1237000000,192795000,751530000,956880000,907520000,485450000
Q5T8I3,na,19113500,2872350,0,13860000,25507000,11394400,3259050,13992000,3367650,27477000,18051000,0,0,8276600,53817000,2864850,130303500,8434000,24183000,80300500,71422500,70228000,35254500
Q02556,na,1109325000,776300000,2992050,26680000,17805000,25500500,7367200,24430500,29768000,17671000,320985000,24561500,59188000,25003000,51868500,44577500,335870000,12461500000,83155000,202780000,176835000,299380000,49276000
P20591,na,2511450000,801825000,50066000,842995000,675115000,67260000,436880000,1088110000,992890000,4080650000,1963080000,470305000,1735250000,1337450000,779630000,757085000,1566500000,9931000000,482155000,2429050000,1272250000,378155000,219130000
Q9UEW8,na,296865000,57913500,9552100,2028250000,2962500000,1124000000,505985000,3025350000,1737300000,2468800000,919160000,1001225000,2631550000,1890050000,3093150000,850405000,783215000,286645000,265980000,364150000,385750000,2589100000,2853700000
P24534,na,4989350000,1461500000,710090000,6424750000,6550700000,1446500000,1730800000,6570100000,7255300000,11545100000,4311200000,4368450000,5474300000,4447100000,4061650000,6997550000,8652450000,18009500000,3779550000,9340300000,9375950000,6120450000,3939550000
Q9H5N1,na,1619200000,580025000,30643000,451765000,345375000,136455000,189520000,404120000,514630000,404245000,179000000,386180000,453005000,277835000,424560000,217570000,700625000,782215000,137000000,586710000,382510000,785295000,482870000
Q7Z7F7,na,63351000,26846000,3581500,139395000,137670000,30818000,59058500,119136500,99138000,198110000,95019500,114741000,165555000,121895000,133340000,164650000,159670000,127280000,3907400,26394000,25726000,131255000,64070000
Q9H6Q3,na,0,2822500,0,15680000,20021500,5976500,12101500,22662000,14085500,89289500,10429150,8212750,26721500,10008200,21935000,14267000,0,171605000,0,0,0,74083000,34927500
Q9Y2I7,na,301360000,48884500,22998000,115385000,268970000,27264500,31156500,898280000,73339500,146940000,79068500,470785000,204322000,74489000,163960000,124244000,172425000,367920000,106353500,242760000,244215000,221105000,55641500
P10619,na,118941500,16384650,8126800,1045630000,1128460000,237735000,193930000,1322200000,943910000,1690850000,377050000,253900000,1564800000,956870000,850980000,506340000,356555000,536310000,495020000,2214650000,1653800000,965995000,725425000
Q9NV96,na,301275000,180140000,32274500,276720000,262790000,96623500,198630000,298740000,244685000,490275000,255810000,324075000,359495000,264985000,248760000,188555000,476290000,1703450000,623970000,568770000,796010000,810175000,397165000
Q14651,na,0,0,1176435,106898500,96171500,8775600,22255000,114550000,113582500,37425000,46184000,127632000,70853000,58761500,49057000,87479500,15613200,52594500,30724500,5367200,29690000,44255500,57799000
Q8IXB1,na,802035000,219410000,49055500,150475000,206855000,89306000,78820000,349755000,312802000,306625000,152815000,124436500,268790000,292455000,293295000,136745000,668570000,1112050000,400295000,923740000,782495000,419745000,319935000
P05362,na,135012000,30806500,10123250,34769000,78677500,59007500,43468500,94665000,46092500,156070000,44475000,9687900,164770500,193835000,416795000,11533100,1140750000,1574100000,437635000,1840700000,2542050000,685360000,348265000
Q96KR6,na,0,5042850,0,83321000,91223000,9150200,10536500,102280500,39290000,90224000,24996000,56806500,55242500,30013000,23655500,54178500,11845500,27706500,13153000,680800,18262000,26820000,9627350
O95251,na,451400000,278465000,3545650,1054100000,856515000,251300000,351045000,1074700000,986250000,1008900000,755950000,1075890000,999315000,737420000,777290000,912470000,305945000,547155000,86999000,248025000,288900000,861390000,701330000
P06748,na,29301000000,20100000000,4261350000,47092000000,59523000000,15992000000,14775000000,57349500000,56798500000,53398500000,52941000000,37589000000,48611000000,38058500000,37714000000,45736500000,29175500000,42218000000,9643700000,17632000000,19364500000,42289500000,17278500000
Q8NF37,na,3716450000,197910000,16953000,761595000,1605200000,718535000,290970000,1018970000,692870000,1524000000,518665000,500225000,2657850000,2017150000,5616700000,354595000,656980000,1592000000,433720000,1052595000,2412100000,4912300000,7020500000
Q96II8,na,762140000,218120000,17778000,1004635000,1003305000,266280000,308405000,1187750000,807135000,1092150000,696505000,719935000,1142920000,603775000,1035690000,621770000,561540000,1594900000,78106500,433315000,482990000,968390000,1020415000
Q7Z7H8,na,229215000,87056500,1543100,299630000,244845000,58343000,47814500,321570000,293085000,194275000,79033500,572465000,529685000,531725000,400100000,505665000,304325000,367055000,76409500,424370000,502935000,421280000,107925500
Q14165,na,1096970000,430815000,108160000,1212050000,1263950000,420535000,506030000,1512400000,1131535000,1854050000,922160000,1009130000,893890000,1046450000,935355000,738490000,2813850000,6827900000,695085000,3053750000,2540300000,1826050000,980250000
P24844,na,0,525850,0,0,0,1819250,0,1252500,0,0,0,0,0,0,0,0,0,0,9486200,32470000,12455500,0,0
O43312,na,666965000,276555000,3416450,102085000,52170000,39434500,33604000,52858000,29836000,68273000,7288650,23666500,54741500,76454500,334550000,10148000,27180500,30602500,6251800,906740000,2712200000,0,712340000
P02763,na,0,0,0,70597500,66059500,2667015000,92539500,238940000,221380000,248605000,322555000,14377950,65966500,21461500,73319500,34187000,913620000,337310000,12814600,271345000,251450000,33823500,24422000
Q86YW5,na,0,0,0,0,0,47823000,0,0,0,17195500,26450500,0,0,0,0,0,2250350,6896000,0,38336500,132425000,0,0
O75820,na,0,0,0,11737500,59963000,0,1835450,0,0,0,1906750,1924400,10367000,0,3518100,0,23304000,41125500,0,0,0,0,0
Q96P53,na,0,4138200,0,4043200,9665000,0,0,18487000,5833500,35862000,11820000,9683500,1192150,7553600,14881000,6409850,141735000,206330000,33296000,54516000,37095500,20299000,13310200
P83436,na,124235000,75567000,9708900,478675000,513445000,105324500,192885000,455105000,374630000,410670000,195500000,248590000,448585000,361900000,294130000,213500000,245915000,767835000,97378000,574460000,420210000,298570000,195879000
Q9UI09,na,680825000,313380000,22266000,1210500000,1484500000,537580000,351360000,1987050000,1577085000,1899650000,464985000,1013615000,2392800000,1317950000,1092180000,1121490000,994715000,1999950000,499865000,1132400000,1844950000,1387200000,1432350000
Q9Y3C5,na,0,477085,0,0,0,0,3276750,0,0,0,12452650,0,0,1008800,5629800,0,0,87963000,8567900,0,4742700,0,0
Q9C0H2,na,1207650,8390200,0,2551450,3604200,0,0,0,0,3779400,0,1108700,0,1711300,1169200,0,42916500,20383000,17242500,137420000,75148000,0,45665000
Q15113,na,0,0,0,0,9207000,10346000,2640800,0,0,0,40782000,0,0,0,0,0,8061000,0,0,0,0,0,0
P23511,na,213780000,204120000,3719850,339705000,425045000,114661000,153300000,289095000,216860000,393745000,276920000,294545000,417605000,234010000,286250000,327255000,293005000,491965000,0,0,51834000,412840000,310350000
Q96PU4,na,358915000,230195000,7497200,648035000,627110000,27982000,133540000,622300000,481070000,976955000,303380000,341525000,757615000,324095000,209685000,385980000,90718000,414765000,16614500,72035000,133548000,273990000,104629500
Q8NBN7,na,442910000,186470000,13125500,573375000,710675000,143944000,144540000,940020000,1028425000,1132550000,762835000,597890000,723395000,480600000,564530000,729785000,231370000,801155000,116681500,441640000,869400000,1147750000,782760000
Q15181,na,3198550000,922915000,1023205000,7740100000,7786150000,2343600000,2589500000,8010150000,8367100000,8279300000,3496850000,4446200000,8217850000,4996950000,3758500000,5922500000,12783150000,5003250000,1804145000,6033050000,4858300000,5897450000,2453000000
Q99747,na,354410000,130235000,66812000,238400000,499780000,277470000,167755000,403935000,480265000,685570000,469600000,344865000,487445000,531175000,545420000,476685000,532910000,995100000,690855000,1383950000,1782600000,572920000,613450000
Q9Y5Q8,na,151900000,55137500,15756600,294490000,455675000,117052000,116505000,389830000,383410000,572275000,258285000,240615000,487530000,230740000,361330000,268505000,483335000,750545000,314410000,290750000,633595000,391345000,387145000
Q9UHD1,na,1357250000,568735000,159650000,1869150000,1910750000,745545000,805195000,2044500000,2100350000,2530950000,1038030000,1240400000,1620850000,1207000000,1471400000,1644000000,1717350000,2481400000,409390000,1274400000,1258050000,1005670000,1093700000
O75436,na,956340000,586605000,54398000,2956100000,1990100000,471220000,417780000,2197300000,2458600000,3971700000,2308680000,1622285000,1146050000,1988600000,3812700000,556265000,3486450000,2247150000,878370000,4506000000,4168650000,1555500000,799765000
Q9H8S9,na,145150000,49412500,6584600,3197300,10946700,13657000,89627500,0,3517650,134917000,15355000,57827650,49443500,35246500,188160000,6555500,179650000,334320000,0,405245000,498555000,141905000,22100500
P17900,na,16269000,15496950,31960500,85731500,142813500,41222500,85835000,143865000,97285500,129085000,121755000,68505000,181865000,137905000,202890000,199930000,370195000,418765000,714785000,545380000,93709000,163210000,122535000
Q7L4I2,na,254380000,138845000,14315500,343935000,203310000,52201000,136800000,398870000,267205000,425495000,268915000,356020000,447385000,234280000,218295000,277220000,182100000,214040000,91811500,173100000,169980000,405495000,267890000
Q12931,na,977300000,449395000,143447000,1790550000,2413200000,413305000,730335000,2505250000,2568600000,3703300000,1800200000,1877200000,3100100000,1819500000,2785250000,2737200000,1885850000,879875000,557225000,1931950000,2324800000,1858750000,839700000
Q86VS8,na,271325000,110044500,3273600,968610000,1152090000,303215000,215980000,1400400000,815505000,925225000,506410000,632575000,910225000,551985000,541175000,326730000,456080000,1020425000,376490000,890200000,828160000,1064550000,790110000
P43652,na,5486400,0,3644050,26513500,193800000,1086920000,8318900,266615000,223355000,150560000,474460000,33359500,109189500,7592100,21399500,46158100,329845000,136230000,6781500,338520000,109490000,1132395000,962325000
Q9C0I1,na,296040000,44661500,239365,294395000,417410000,120210000,92374500,330805000,301910500,415780000,273160000,404680000,378695000,390795000,537615000,210425000,525350000,1747350000,71456000,156695000,190825000,457080000,505165000
Q9NVK5-2,na,316990000,222270000,50920000,705035000,633330000,204990000,263180000,689595000,962985000,1228000000,523305000,472450000,598300000,521215000,637470000,361280000,159129000,413075000,118090000,378890000,537825000,520460000,880710000
Q9Y2B0,na,892180000,309235000,183235000,1549400000,1562000000,468255000,457250000,1552950000,2236850000,1264300000,908165000,887715000,1762000000,1283705000,710710000,921055000,2106100000,2831150000,669520000,2355400000,1981850000,1835400000,1004415000
Q9Y6X5,na,177696000,142437500,1526050,256405000,513820000,522710000,190670000,248520000,214170000,191050000,184574500,240855000,937585000,1268400000,3347000000,393825000,83807000,311970000,29283500,69462500,237415000,1211850000,5721350000
Q96PE3-3,na,176245000,49062500,33304500,1608300000,1598800000,436425000,416535000,1597650000,647480000,924850000,611845000,1444950000,2314700000,1349950000,1689300000,1376150000,630860000,4214750000,264010000,901085000,1397000000,1457700000,2346400000
Q8NFH8,na,25087500,5985500,4518000,6311000,29097500,2733050,14965500,0,0,59843500,0,0,17247000,16651500,286390,16527000,249990000,236990000,22629000,134730000,89930500,26950500,16716000
O95777,na,1899950000,880215000,114480000,1960450000,1681150000,782595000,1101700000,1826100000,1922100000,2847450000,1833950000,1905600000,2257500000,1408750000,1358100000,1633400000,1373950000,1225950000,417475000,1622650000,1413750000,2347700000,1227575000
Q8WTR2,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8338500,0,0,0,0,0,0,0,0
P42704,na,9469550000,4299100000,679225000,16026000000,17625000000,3591950000,5325800000,17887000000,13338950000,17198500000,11046000000,14174000000,17290500000,12267500000,10982000000,15593000000,17028500000,14301500000,7132550000,19604500000,21862500000,15883500000,9605600000
Q15654,na,2780700,0,579750,18685450,20246500,6405000,2405750,23622000,48060500,0,0,667600,0,0,0,27424600,0,393510000,0,0,0,0,0
P14324,na,1270200000,756785000,218930000,2211900000,2433100000,770985000,542195000,1942500000,1368990000,2022900000,965135000,1400600000,1709000000,1278400000,1790000000,1066550000,3106600000,3042900000,1217455000,3780150000,1748150000,1990700000,2151800000
P29966,na,5128550000,1580650000,450920000,4372400,4842350,29108000,658850,22633150,27266000,72105500,6479700,5515450,1330700,13109000,3943400,1103255,4125550000,35094500,1198070000,13378000000,6809550000,23851000,1731555
Q13596,na,1412800000,721725000,93360500,1913000000,2271700000,933840000,573955000,1950550000,1856200000,2242850000,876750000,965990000,1780550000,2076900000,2523900000,884260000,2681150000,5367050000,847640000,3685250000,3261150000,1289150000,1844350000
Q6N043,na,166846500,11006250,0,102399500,12869500,824250,8449300,122385500,59157000,18556500,14615500,136577500,70766000,20695000,7743400,23802500,34493000,35213000,357715,0,24138600,34851000,20113000
O15397,na,186504500,28344000,0,301895000,211985000,112349000,66627000,226450000,170945000,714480000,106070000,154560000,441440000,197835000,266025000,172250000,187050000,466635000,196970000,1449050000,741600000,287895000,152205000
Q9H008,na,1542100000,403125000,19256100,2714600000,2386700000,662785000,539145000,2324150000,1880000000,1835800000,3044300000,3494400000,1795900000,1396900000,1584650000,2526800000,1032285000,1104545000,314660000,1202000000,1672350000,747545000,878700000
Q9UGC7,na,0,0,2002150,0,4301550,0,0,11160150,10004000,35994500,13175000,14897000,0,27498600,1325350,976950,3444850,63240000,93961000,5219000,4079950,35248500,7207750
