major_protein_id,Gene names,Intensity NOT_BCellmemory,Intensity NOT_BCellnaive,Intensity NOT_BCellplasma,Intensity NOT_CD4TCellTcm,Intensity NOT_CD4TCellTem,Intensity NOT_CD4TCellTemra,Intensity NOT_CD4TCellTh1,Intensity NOT_CD4TCellTh17,Intensity NOT_CD4TCellTh2,Intensity NOT_CD4TCellmTregs,Intensity NOT_CD4TCellnTregs,Intensity NOT_CD4TCellnaive,Intensity NOT_CD8TCellTcm,Intensity NOT_CD8TCellTem,Intensity NOT_CD8TCellTemra,Intensity NOT_CD8TCellnaive,Intensity NOT_DendriticCD1c,Intensity NOT_DendriticCD304,Intensity NOT_Monocytesclassical,Intensity NOT_Monocytesintermediate,Intensity NOT_Monocytesnonclassical,Intensity NOT_NKCellsCD56bright,Intensity NOT_NKCellsCD56dim
P17213,BPI,0.0,0.0,0.0,0.0,0.0,1.3583412016777292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5898040958377344,0.0,0.0,0.0,0.0,1.7100225975829366,0.0,1.4335163403601692,0.0
P52943,CRIP2,0.0,0.0,0.0,0.0,1.9309523723098425,0.0,0.0,1.9749350681682336,0.0,1.4720747692988962,0.0,0.0,1.853258133404952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P57075,UBASH3A,0.0,0.0,0.0,1.6880730245419477,1.8459446161145696,0.0,0.0,1.5816254041656195,0.0,0.0,0.0,0.0,1.8652653367211773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P05164,MPO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5961609463291038,2.8278928245186292,2.2973765487976205,0.0,0.0
Q99633,PRPF18;LOC101928524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6683797799735052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9711009452181865,0.0,0.0,0.0,1.4279375014902644,0.0
Q99576,TSC22D3,0.0,2.34966023458912,0.0,0.0,0.0,0.0,0.0,0.0,2.6253056606860765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.186132170954474,0.0,0.0,0.0,0.0
P11277-2,SPTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8723435133313178,0.0,0.0,0.0,0.0,0.0,1.9263504383818586,0.0,0.0,0.0,0.0,1.4652783783077394,0.0
P49863,GZMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.235051155777595,2.467663875555673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7016280654992637,0.0
P02545,LMNA,0.0,0.0,0.0,0.0,2.0476050839159523,0.0,0.0,2.0679046361091347,0.0,2.5006541805910736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P01730,CD4,0.0,0.0,0.0,0.0,1.8090881146203144,0.0,0.0,1.9153980524705985,0.0,1.9552190280558355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
